"PublishedIndicatorId","SourceIndicatorId","NameEN","NameAR","IndicatorTypeId","IndicatorTypeEN","IndicatorTypeAR","IndicatorTypeCode","IndicatorPriorityTypeId","PriorityTypeEN","PriorityTypeAR","PriorityTypeCode","PriorityRanking","IndicatorEntityTypeId","EntityClassification","EntityClassificationName","PublishingStatus","PublishingStatusName","Published","IsActive","InactiveReason","Completed","IsAnalysisAdded","ShowBenchmarksOnOverview","IsRankingOrRatingIndicator","OverlayEN","OverlayAR","Comment","CreatedAt","UpdatedAt"
"7a9043e0-0b8f-4939-b582-08ddb722adc3","9c9afe44-a344-4a3d-acab-d7fb40995de9","Licensed Companies-2","الشركات المرخصة-1","039b6f8d-fe85-4260-9dbe-8fb27db40c57","Special Entities","كيانات خاصة","specialentities","2","Priority","مشروع ذو أولوية","priority","2","53039338-c0fc-412a-aa1c-ecd2d68b5c5b","4","SpecialEntities","2","Amended","True","False","","True","False","False","False","","","","6/30/2025 1:48:06 PM",""
"6fd24445-5619-4817-b583-08ddb722adc3","711ab844-ce8b-4899-9a84-990d570d89ed","Gross Value Added (QAR, m)-1","القيمة المضافة الإجمالية (مليون ر.ق.)-2","039b6f8d-fe85-4260-9dbe-8fb27db40c57","Special Entities","كيانات خاصة","specialentities","2","Priority","مشروع ذو أولوية","priority","2","53039338-c0fc-412a-aa1c-ecd2d68b5c5b","4","SpecialEntities","2","Amended","True","False","","True","False","False","False","","","","6/30/2025 1:49:00 PM",""
"e71f0d56-0ca7-4508-b584-08ddb722adc3","f839de6c-8c92-40f6-a887-7edb63732039","Approved Companies-2","المشاريع المعتمدة-1","039b6f8d-fe85-4260-9dbe-8fb27db40c57","Special Entities","كيانات خاصة","specialentities","2","Priority","مشروع ذو أولوية","priority","2","53039338-c0fc-412a-aa1c-ecd2d68b5c5b","4","SpecialEntities","2","Amended","True","False","","True","False","False","False","","","","6/30/2025 1:49:39 PM",""
"1bbcb6ff-813a-49de-b585-08ddb722adc3","baa02dc2-7b71-4336-a36c-9ed00c23bc37","Capital Investments (QAR, m)-1","الاستثمارات الرأسمالية (مليون ر.ق.)-1","039b6f8d-fe85-4260-9dbe-8fb27db40c57","Special Entities","كيانات خاصة","specialentities","2","Priority","مشروع ذو أولوية","priority","2","53039338-c0fc-412a-aa1c-ecd2d68b5c5b","4","SpecialEntities","2","Amended","True","False","","True","False","False","False","","","","6/30/2025 1:50:06 PM",""
"d631b600-dadb-4c6c-b586-08ddb722adc3","a53d012f-d31e-499e-aac4-8e0028f65a15","Total Number of Active Companies-2","إجمالي الشركات النشطة-2","039b6f8d-fe85-4260-9dbe-8fb27db40c57","Special Entities","كيانات خاصة","specialentities","2","Priority","مشروع ذو أولوية","priority","2","943d0b58-e556-4eea-81ee-3e1b83a43f0c","4","SpecialEntities","2","Amended","True","False","","True","False","False","False","","","","6/30/2025 1:53:30 PM",""
"5d4fc31b-01c2-48fb-b587-08ddb722adc3","33fb9a78-b111-480b-9daf-27b4847548d6","Number of Jobs Created-2","Number of Jobs Created-2","039b6f8d-fe85-4260-9dbe-8fb27db40c57","Special Entities","كيانات خاصة","specialentities","2","Priority","مشروع ذو أولوية","priority","2","e546e30f-6dfe-498e-8146-f90dc7946924","4","SpecialEntities","2","Amended","True","False","","True","False","False","False","","","","6/30/2025 1:57:30 PM",""
"c2967fd3-1266-4ced-b588-08ddb722adc3","9439d25c-e03c-4587-882f-b2d4255602c6","Value of Investment Projects-2","Value of Investment Projects-2","039b6f8d-fe85-4260-9dbe-8fb27db40c57","Special Entities","كيانات خاصة","specialentities","2","Priority","مشروع ذو أولوية","priority","2","e546e30f-6dfe-498e-8146-f90dc7946924","4","SpecialEntities","2","Amended","True","False","","True","False","False","False","","","","6/30/2025 1:58:36 PM",""
"e09fd076-383b-490c-b589-08ddb722adc3","e7b61ac2-ebf2-4ac2-ace9-832381a4faba","Number of Investor Leads-2","Number of Investor Leads-2","039b6f8d-fe85-4260-9dbe-8fb27db40c57","Special Entities","كيانات خاصة","specialentities","2","Priority","مشروع ذو أولوية","priority","2","e546e30f-6dfe-498e-8146-f90dc7946924","4","SpecialEntities","2","Amended","True","False","","True","False","False","False","","","","6/30/2025 1:59:01 PM",""
"a7ebe308-044c-4dac-b58a-08ddb722adc3","0f0d0f6e-6e2d-4f66-a575-eb2fb8a28957","Number of Investment Projects-2","Number of Investment Projects-2","039b6f8d-fe85-4260-9dbe-8fb27db40c57","Special Entities","كيانات خاصة","specialentities","2","Priority","مشروع ذو أولوية","priority","2","e546e30f-6dfe-498e-8146-f90dc7946924","4","SpecialEntities","2","Amended","True","False","","True","False","False","False","","","","6/30/2025 2:00:30 PM",""
"1e2db018-2e23-49bc-b58b-08ddb722adc3","442c7b35-1587-4400-96a1-f8037107ab00","Number of Events-2","Number of Events-1","039b6f8d-fe85-4260-9dbe-8fb27db40c57","Special Entities","كيانات خاصة","specialentities","2","Priority","مشروع ذو أولوية","priority","2","e546e30f-6dfe-498e-8146-f90dc7946924","4","SpecialEntities","2","Amended","True","False","","True","False","False","False","","","","6/30/2025 2:02:20 PM",""
"59f286b6-d682-4889-b58c-08ddb722adc3","c9e51b4c-7b0c-48a2-a470-11bd54ddabd2","Number of Policy Publications-1","Number of Policy Publications-2","039b6f8d-fe85-4260-9dbe-8fb27db40c57","Special Entities","كيانات خاصة","specialentities","2","Priority","مشروع ذو أولوية","priority","2","e546e30f-6dfe-498e-8146-f90dc7946924","4","SpecialEntities","2","Amended","True","False","","True","False","False","False","","","","6/30/2025 2:03:12 PM",""
"311f3407-e32c-4171-0464-08ddbd8c9c38","64eec0a9-2740-4bb2-b661-08dd8ca641ed","Number of Non-Qatari Jobs","عدد وظائف غير القطريين","c70c10e6-764c-4ec7-a7a4-e96d4e72d76d","Sector Indicator","قطاع","sectorindicator","2","Priority","مشروع ذو أولوية","priority","2","39740084-7387-4caa-886a-8bd5c71fd799","7","Sectors","2","Amended","True","False","","True","True","False","False","This indicator will be activated once it is published in the National Central Database","سيتم تفعيل المؤشر حين نشره من قبل قاعدة البيانات المركزية للدولة","","7/7/2025 10:53:33 PM",""
